enhanced_vader_neg,enhanced_vader_neu,enhanced_vader_pos,enhanced_vader_compound
0.234,0.766,0.0,-0.5216
0.0,0.574,0.426,0.9302
0.0,0.498,0.502,0.8425
0.035,0.82,0.145,0.9861
0.224,0.683,0.092,-0.9738
0.0,0.821,0.179,0.8176
0.047,0.725,0.227,0.8142
0.086,0.812,0.102,0.4904
0.0,0.909,0.091,0.0516
0.055,0.798,0.147,0.9321
0.126,0.58,0.294,0.4464
0.094,0.906,0.0,-0.357
0.137,0.795,0.069,-0.2874
0.0,1.0,0.0,0.0
0.083,0.727,0.19,0.9938
0.0,0.212,0.788,0.7525
0.104,0.733,0.163,0.4417
0.0,0.815,0.185,0.8953
0.29,0.386,0.324,0.1119
0.114,0.746,0.14,0.8257
0.132,0.744,0.125,-0.6549
0.0,1.0,0.0,0.0
0.0,0.559,0.441,0.7964
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.612,0.388,0.8858
0.0,0.255,0.745,0.8294
0.125,0.775,0.1,-0.2686
0.0,0.733,0.267,0.3724
0.0,0.531,0.469,0.6486
0.0,0.602,0.398,0.6478
0.027,0.835,0.138,0.9171
0.186,0.685,0.128,-0.9837
0.318,0.682,0.0,-0.1027
0.063,0.662,0.274,0.9528
0.045,0.807,0.147,0.9862
0.0,1.0,0.0,0.0
0.083,0.818,0.099,0.2952
0.143,0.807,0.05,-0.7214
0.027,0.821,0.152,0.8894
0.0,0.526,0.474,0.6597
0.0,0.782,0.218,0.4199
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.298,0.603,0.099,-0.5606
0.228,0.652,0.12,-0.4588
0.064,0.761,0.175,0.9885
0.356,0.429,0.215,-0.3182
0.0,0.494,0.506,0.6249
0.0,0.886,0.114,0.9211
0.0,0.588,0.412,0.4215
0.037,0.855,0.109,0.9849
0.125,0.605,0.27,0.6426
0.0,0.767,0.233,0.8555
0.018,0.775,0.207,0.9418
0.173,0.827,0.0,-0.2235
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.375,0.625,0.6124
0.0,0.939,0.061,0.3987
0.081,0.759,0.161,0.9748
0.043,0.834,0.122,0.9774
0.0,0.557,0.443,0.1511
0.0,0.496,0.504,0.7269
0.1,0.648,0.252,0.9616
0.03,0.868,0.102,0.8542
0.0,0.508,0.492,0.4404
0.0,0.633,0.367,0.7003
0.0,0.3,0.7,0.7906
0.019,0.834,0.147,0.9517
0.0,1.0,0.0,0.0
0.034,0.923,0.044,-0.0781
0.077,0.822,0.102,0.9874
0.0,0.606,0.394,0.2382
0.0,0.662,0.338,0.3716
0.0,0.733,0.267,0.8409
0.403,0.597,0.0,-0.6597
0.168,0.784,0.048,-0.7311
0.139,0.799,0.061,-0.9915
0.0,0.571,0.429,0.9538
0.014,0.829,0.157,0.9796
0.109,0.847,0.044,-0.8714
0.071,0.683,0.245,0.6808
0.101,0.651,0.248,0.6956
0.0,0.547,0.453,0.6997
0.0,0.469,0.531,0.7778
0.112,0.803,0.084,-0.4329
0.0,0.621,0.379,0.9645
0.0,0.929,0.071,0.4572
0.155,0.797,0.048,-0.744
0.092,0.874,0.034,-0.9036
0.0,0.833,0.167,0.2023
0.066,0.79,0.144,0.9274
0.0,0.608,0.392,0.891
0.083,0.743,0.174,0.8825
0.087,0.774,0.139,0.6625
0.128,0.659,0.213,0.807
0.0,1.0,0.0,0.0
0.306,0.694,0.0,-0.296
0.044,0.838,0.117,0.919
0.352,0.648,0.0,-0.5859
0.048,0.82,0.132,0.9805
0.0,0.769,0.231,0.8478
0.114,0.77,0.116,0.494
0.0,1.0,0.0,0.0
0.0,0.663,0.337,0.8792
0.16,0.4,0.44,0.6369
0.183,0.817,0.0,-0.7395
0.024,0.799,0.177,0.9563
0.0,0.595,0.405,0.5267
0.132,0.758,0.11,-0.9216
0.0,1.0,0.0,0.0
0.0,0.767,0.233,0.6206
0.0,0.759,0.241,0.7693
0.055,0.834,0.111,0.8931
0.245,0.755,0.0,-0.6369
0.045,0.814,0.141,0.9885
0.0,0.784,0.216,0.8583
0.135,0.865,0.0,-0.3252
0.093,0.733,0.174,0.9873
0.0,1.0,0.0,0.0
0.078,0.775,0.147,0.6597
0.108,0.791,0.101,-0.2398
0.0,1.0,0.0,0.0
0.059,0.703,0.238,0.9299
0.046,0.789,0.165,0.5916
0.036,0.791,0.173,0.9152
0.0,0.775,0.225,0.4404
0.091,0.884,0.025,-0.8176
0.636,0.364,0.0,-0.5423
0.074,0.853,0.073,-0.0604
0.176,0.644,0.18,0.0355
0.188,0.735,0.077,-0.9378
0.091,0.886,0.023,-0.7269
0.0,0.54,0.46,0.8543
0.201,0.696,0.103,-0.6239
0.249,0.593,0.157,-0.6142
0.0,0.319,0.681,0.7506
0.044,0.684,0.273,0.9744
0.079,0.767,0.154,0.3724
0.088,0.563,0.349,0.8126
0.114,0.732,0.155,0.946
0.096,0.875,0.029,-0.8677
0.018,0.823,0.158,0.8669
0.033,0.847,0.12,0.6634
0.0,0.797,0.203,0.9503
0.071,0.79,0.139,0.9285
0.088,0.657,0.254,0.7627
0.195,0.805,0.0,-0.4813
0.246,0.622,0.132,-0.4939
0.0,0.767,0.233,0.765
0.0,0.725,0.275,0.9671
0.0,0.969,0.031,0.1027
0.0,0.796,0.204,0.3182
0.138,0.809,0.053,-0.7096
0.264,0.736,0.0,-0.8647
0.45,0.55,0.0,-0.848
0.074,0.926,0.0,-0.3241
0.104,0.785,0.111,-0.1901
0.0,0.727,0.273,0.4588
0.172,0.676,0.152,-0.5672
0.04,0.809,0.15,0.8931
0.085,0.597,0.319,0.9956
0.0,0.86,0.14,0.3818
0.144,0.725,0.131,-0.3274
0.103,0.897,0.0,-0.3412
0.043,0.651,0.306,0.9898
0.0,1.0,0.0,0.0
0.044,0.904,0.052,0.1068
0.348,0.652,0.0,-0.7071
0.0,0.877,0.123,0.7096
0.0,0.543,0.457,0.6369
0.0,0.662,0.338,0.802
0.07,0.722,0.207,0.9946
0.0,0.504,0.496,0.7845
0.0,0.931,0.069,0.6341
0.022,0.873,0.105,0.7447
0.0,0.858,0.142,0.5106
0.0,0.915,0.085,0.2838
0.0,0.891,0.109,0.0258
0.031,0.806,0.163,0.8746
0.097,0.718,0.185,0.4939
0.361,0.309,0.33,-0.0772
0.518,0.482,0.0,-0.4973
0.088,0.912,0.0,-0.2755
0.0,0.862,0.138,0.5411
0.158,0.842,0.0,-0.5106
0.015,0.616,0.369,0.9915
0.0,0.811,0.189,0.2732
0.121,0.818,0.061,-0.7892
0.0,1.0,0.0,0.0
0.135,0.813,0.052,-0.7996
0.0,0.421,0.579,0.9081
0.047,0.882,0.071,0.2926
0.06,0.83,0.11,0.2633
0.388,0.612,0.0,-0.5859
0.221,0.721,0.058,-0.7523
0.0,0.763,0.237,0.9275
0.053,0.792,0.156,0.9041
0.0,0.85,0.15,0.4588
0.0,0.633,0.367,0.4404
0.0,0.196,0.804,0.6249
0.045,0.717,0.238,0.9712
0.277,0.673,0.049,-0.9835
0.089,0.79,0.121,0.128
0.0,0.894,0.106,0.8422
0.0,1.0,0.0,0.0
0.206,0.213,0.582,0.743
0.0,0.244,0.756,0.4754
0.104,0.819,0.077,-0.6124
0.062,0.662,0.276,0.875
0.07,0.809,0.12,0.274
0.0,0.602,0.398,0.8977
0.021,0.676,0.303,0.9569
0.066,0.839,0.095,0.2023
0.0,1.0,0.0,0.0
0.0,0.633,0.367,0.4404
0.155,0.779,0.067,-0.7909
0.0,1.0,0.0,0.0
0.041,0.73,0.23,0.7906
0.088,0.852,0.06,-0.2263
0.101,0.779,0.12,0.0414
0.107,0.856,0.036,-0.8221
0.181,0.733,0.086,-0.7072
0.012,0.871,0.117,0.9468
0.11,0.83,0.06,-0.5599
0.677,0.323,0.0,-0.6369
0.203,0.652,0.145,-0.2023
0.0,0.857,0.143,0.3612
0.0,1.0,0.0,0.0
0.0,0.726,0.274,0.7783
0.065,0.922,0.014,-0.7526
0.0,0.615,0.385,0.3612
0.317,0.453,0.23,-0.1943
0.0,1.0,0.0,0.0
0.0,0.633,0.367,0.4404
0.078,0.833,0.088,0.3442
0.595,0.405,0.0,-0.5267
0.222,0.728,0.05,-0.9681
0.0,0.851,0.149,0.2732
0.0,0.662,0.338,0.3716
0.0,0.578,0.422,0.2942
0.033,0.861,0.106,0.3716
0.0,0.8,0.2,0.6124
0.0,0.506,0.494,0.2382
0.023,0.826,0.151,0.9697
0.0,1.0,0.0,0.0
0.262,0.738,0.0,-0.6825
0.082,0.66,0.257,0.6019
0.0,0.589,0.411,0.4199
0.0,0.722,0.278,0.6753
0.545,0.455,0.0,-0.5574
0.08,0.888,0.032,-0.7149
0.0,0.417,0.583,0.4215
0.015,0.76,0.225,0.9814
0.09,0.807,0.103,0.0846
0.063,0.783,0.155,0.9259
0.0,0.945,0.055,0.7835
0.0,1.0,0.0,0.0
0.073,0.834,0.094,0.2534
0.113,0.887,0.0,-0.1027
0.039,0.816,0.145,0.7345
0.571,0.429,0.0,-0.6124
0.185,0.815,0.0,-0.5122
0.085,0.774,0.141,0.7351
0.0,0.444,0.556,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.025,0.73,0.245,0.8712
0.147,0.69,0.163,0.3354
0.048,0.803,0.148,0.9251
0.067,0.933,0.0,-0.3896
0.026,0.852,0.122,0.9241
0.0,0.647,0.353,0.9369
