
========== NB RULE-LEVEL AUDIT ==========
Total rules: 150
Rules used: 51
Rules not used: 99

========== RULE SUMMARY TABLE ==========
                              rule_key  applications  corrected  harmed  net_corrections  correction_precision  mean_margin_change status
                     diminisher:almost             7          2       1                1              0.666667           -0.041579   USED
                    phrase:not_fitting             4          2       1                1              0.666667            0.090209   USED
                  phrase:had_to_return             2          1       0                1              1.000000           -0.036369   USED
                   phrase:cheaply_made             1          1       0                1              1.000000            0.272140   USED
                      intensifier:very            35          4       4                0              0.500000           -0.046468   USED
              concessive_marker:though            10          1       1                0              0.500000            0.046902   USED
              post_contrast_marker:yet             9          2       2                0              0.500000            0.005456   USED
                 intensifier:extremely             4          0       0                0                   NaN            0.052426   USED
                   phrase:well_written             4          0       0                0                   NaN            0.019393   USED
            concessive_marker:although             4          1       1                0              0.500000            0.013318   USED
                     intensifier:super             4          0       0                0                   NaN           -0.020872   USED
         concessive_marker:even_though             3          1       1                0              0.500000            0.046822   USED
                phrase:would_recommend             3          1       1                0              0.500000           -0.024068   USED
                intensifier:completely             3          0       0                0                   NaN           -0.045809   USED
          phrase:neutral_expected_more             2          0       0                0                   NaN            0.038553   USED
                    phrase:works_great             2          0       0                0                   NaN            0.009779   USED
                   diminisher:somewhat             2          0       0                0                   NaN           -0.072931   USED
                     diminisher:fairly             2          0       0                0                   NaN           -0.156301   USED
                 phrase:waste_of_money             2          0       0                0                   NaN           -0.175592   USED
                 intensifier:seriously             1          0       0                0                   NaN            0.335465   USED
                      phrase:no_issues             1          0       0                0                   NaN            0.258820   USED
                     diminisher:mildly             1          0       0                0                   NaN            0.255173   USED
                   phrase:not_worth_it             1          0       0                0                   NaN            0.242196   USED
          phrase:neutral_pros_and_cons             1          0       0                0                   NaN            0.178566   USED
                    phrase:see_through             1          0       0                0                   NaN            0.102846   USED
                   intensifier:totally             1          0       0                0                   NaN           -0.028493   USED
                   phrase:not_charging             1          0       0                0                   NaN           -0.065436   USED
                   phrase:true_to_size             1          0       0                0                   NaN           -0.105051   USED
                    phrase:wrong_color             1          0       0                0                   NaN           -0.118010   USED
                 phrase:poorly_written             1          0       0                0                   NaN           -0.141321   USED
                 phrase:easy_to_follow             1          0       0                0                   NaN           -0.164256   USED
                     diminisher:hardly             1          0       0                0                   NaN           -0.207551   USED
               phrase:highly_recommend             1          0       0                0                   NaN           -0.300350   USED
                 phrase:never_received             1          0       0                0                   NaN           -0.315082   USED
                      diminisher:kinda             0          0       0                0                   NaN                 NaN UNUSED
                  diminisher:partially             0          0       0                0                   NaN                 NaN UNUSED
                     diminisher:partly             0          0       0                0                   NaN                 NaN UNUSED
                      diminisher:sorta             0          0       0                0                   NaN                 NaN UNUSED
                intensifier:incredibly             0          0       0                0                   NaN                 NaN UNUSED
              intensifier:ridiculously             0          0       0                0                   NaN                 NaN UNUSED
                  intensifier:terribly             0          0       0                0                   NaN                 NaN UNUSED
                     intensifier:ultra             0          0       0                0                   NaN                 NaN UNUSED
                         negator:ain't             0          0       0                0                   NaN                 NaN UNUSED
                          negator:aint             0          0       0                0                   NaN                 NaN UNUSED
                        negator:aren't             0          0       0                0                   NaN                 NaN UNUSED
                         negator:arent             0          0       0                0                   NaN                 NaN UNUSED
                         negator:can't             0          0       0                0                   NaN                 NaN UNUSED
                        negator:cannot             0          0       0                0                   NaN                 NaN UNUSED
                          negator:cant             0          0       0                0                   NaN                 NaN UNUSED
                      negator:couldn't             0          0       0                0                   NaN                 NaN UNUSED
                       negator:couldnt             0          0       0                0                   NaN                 NaN UNUSED
                        negator:didn't             0          0       0                0                   NaN                 NaN UNUSED
                         negator:didnt             0          0       0                0                   NaN                 NaN UNUSED
                       negator:doesn't             0          0       0                0                   NaN                 NaN UNUSED
                        negator:doesnt             0          0       0                0                   NaN                 NaN UNUSED
                         negator:don't             0          0       0                0                   NaN                 NaN UNUSED
                          negator:dont             0          0       0                0                   NaN                 NaN UNUSED
                        negator:hadn't             0          0       0                0                   NaN                 NaN UNUSED
                         negator:hadnt             0          0       0                0                   NaN                 NaN UNUSED
                        negator:hasn't             0          0       0                0                   NaN                 NaN UNUSED
                         negator:hasnt             0          0       0                0                   NaN                 NaN UNUSED
                       negator:haven't             0          0       0                0                   NaN                 NaN UNUSED
                        negator:havent             0          0       0                0                   NaN                 NaN UNUSED
                         negator:isn't             0          0       0                0                   NaN                 NaN UNUSED
                          negator:isnt             0          0       0                0                   NaN                 NaN UNUSED
                           negator:n't             0          0       0                0                   NaN                 NaN UNUSED
                            negator:nt             0          0       0                0                   NaN                 NaN UNUSED
                     negator:shouldn't             0          0       0                0                   NaN                 NaN UNUSED
                      negator:shouldnt             0          0       0                0                   NaN                 NaN UNUSED
                        negator:wasn't             0          0       0                0                   NaN                 NaN UNUSED
                         negator:wasnt             0          0       0                0                   NaN                 NaN UNUSED
                       negator:weren't             0          0       0                0                   NaN                 NaN UNUSED
                        negator:werent             0          0       0                0                   NaN                 NaN UNUSED
                         negator:won't             0          0       0                0                   NaN                 NaN UNUSED
                          negator:wont             0          0       0                0                   NaN                 NaN UNUSED
                      negator:wouldn't             0          0       0                0                   NaN                 NaN UNUSED
                       negator:wouldnt             0          0       0                0                   NaN                 NaN UNUSED
                phrase:bad_translation             0          0       0                0                   NaN                 NaN UNUSED
            phrase:battery_drains_fast             0          0       0                0                   NaN                 NaN UNUSED
           phrase:better_than_expected             0          0       0                0                   NaN                 NaN UNUSED
        phrase:cannot_recommend_enough             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:color_faded             0          0       0                0                   NaN                 NaN UNUSED
                phrase:comfortable_fit             0          0       0                0                   NaN                 NaN UNUSED
           phrase:could_not_be_happier             0          0       0                0                   NaN                 NaN UNUSED
                phrase:dead_on_arrival             0          0       0                0                   NaN                 NaN UNUSED
