
========== SHORT NB REVIEW-LEVEL AUDIT SUMMARY ==========
                                      metric  count  percent
                               Total reviews    200    100.0
        Reviews with at least 1 rule applied    150     75.0
               Reviews with no rules applied     50     25.0
             Reviews whose sentiment changed     72     36.0
                     Corrected reviews total     29     14.5
        Corrected reviews with rules applied     19      9.5
     Corrected reviews with no rules applied     10      5.0
                        Harmed reviews total     30     15.0
           Harmed reviews with rules applied     25     12.5
        Harmed reviews with no rules applied      5      2.5
        Wrong to wrong changed reviews total     13      6.5
   Wrong to wrong changed with rules applied      9      4.5
Wrong to wrong changed with no rules applied      4      2.0
                      Stayed correct reviews     71     35.5
                        Stayed wrong reviews     57     28.5
                       Net corrections total     -1     -0.5
          Net corrections with rules applied     -6     -3.0
       Net corrections with no rules applied      5      2.5
