
========== NB FEATURE-LEVEL AUDIT ==========
Total unique polarity features: 1153

========== MOST HARMFUL FEATURES ==========
                                        feature         feature_family  applications  corrected  harmed  net_corrections  decisive_cases  correction_precision  mean_margin_change decision
                               FEAT_NEGATOR_not                negator            97         10      22              -12              32              0.312500           -0.063684    BLOCK
                        FEAT_INTENSIFIER_really            intensifier            24          2       7               -5               9              0.222222           -0.150356   REVIEW
                              FEAT_CONTRAST_but        contrast_marker            86         10      15               -5              25              0.400000           -0.029066   REVIEW
                                FEAT_NEGATOR_no                negator            27          1       5               -4               6              0.166667           -0.106068   REVIEW
                            FEAT_NEG_SCOPE_sure         negation_scope             5          0       3               -3               3              0.000000           -0.268107   REVIEW
                         FEAT_DIMINISHER_barely             diminisher             4          0       3               -3               3              0.000000           -0.220181   REVIEW
                            FEAT_NEG_SCOPE_need         negation_scope             5          0       3               -3               3              0.000000           -0.205322   REVIEW
              FEAT_AFTER_CONTRAST_but_different   after_contrast_scope             2          0       2               -2               2              0.000000           -0.498871   REVIEW
               FEAT_AFTER_CONTRAST_but_purchase   after_contrast_scope             2          0       2               -2               2              0.000000           -0.488563   REVIEW
                   FEAT_AFTER_CONTRAST_but_item   after_contrast_scope             2          0       2               -2               2              0.000000           -0.458853   REVIEW
                           FEAT_NEG_SCOPE_clean         negation_scope             2          0       2               -2               2              0.000000           -0.437093   REVIEW
                           FEAT_NEG_SCOPE_close         negation_scope             2          0       2               -2               2              0.000000           -0.434556   REVIEW
                  FEAT_AFTER_CONTRAST_but_start   after_contrast_scope             2          0       2               -2               2              0.000000           -0.434077   REVIEW
                        FEAT_INTENSIFIED_little      intensified_scope             2          0       2               -2               2              0.000000           -0.427924   REVIEW
                    FEAT_NEG_SCOPE_particularly         negation_scope             2          0       2               -2               2              0.000000           -0.363082   REVIEW
                   FEAT_AFTER_CONTRAST_but_size   after_contrast_scope             3          0       2               -2               2              0.000000           -0.321752   REVIEW
                             FEAT_NEG_SCOPE_get         negation_scope             4          0       2               -2               2              0.000000           -0.279039   REVIEW
                          FEAT_INTENSIFIED_like      intensified_scope             3          0       2               -2               2              0.000000           -0.270822   REVIEW
                           FEAT_NEG_SCOPE_agree         negation_scope             3          0       2               -2               2              0.000000           -0.267022   REVIEW
                   FEAT_AFTER_CONTRAST_but_year   after_contrast_scope             4          0       2               -2               2              0.000000           -0.262895   REVIEW
                           FEAT_NEG_SCOPE_write         negation_scope             2          0       2               -2               2              0.000000           -0.251132   REVIEW
                   FEAT_AFTER_CONTRAST_but_want   after_contrast_scope             4          0       2               -2               2              0.000000           -0.249843   REVIEW
                            FEAT_NEG_SCOPE_help         negation_scope             3          0       2               -2               2              0.000000           -0.207391   REVIEW
                  FEAT_AFTER_CONTRAST_but_small   after_contrast_scope             6          0       2               -2               2              0.000000           -0.191957   REVIEW
                   FEAT_AFTER_CONTRAST_but_need   after_contrast_scope             5          0       2               -2               2              0.000000           -0.169635   REVIEW
                             FEAT_NEGATOR_never                negator             9          2       4               -2               6              0.333333           -0.103532   REVIEW
                             FEAT_CAPS_EMPHASIS          caps_emphasis            39          3       5               -2               8              0.375000           -0.054377    BLOCK
                           FEAT_NEG_SCOPE_style         negation_scope             1          0       1               -1               1              0.000000           -0.624284   REVIEW
              FEAT_AFTER_CONTRAST_but_again.pro   after_contrast_scope             1          0       1               -1               1              0.000000           -0.512860   REVIEW
                    FEAT_AFTER_CONTRAST_but_bag   after_contrast_scope             1          0       1               -1               1              0.000000           -0.512860   REVIEW
                   FEAT_AFTER_CONTRAST_but_body   after_contrast_scope             1          0       1               -1               1              0.000000           -0.512860   REVIEW
                 FEAT_AFTER_CONTRAST_but_bottle   after_contrast_scope             1          0       1               -1               1              0.000000           -0.512860   REVIEW
