
========== ENHANCED RoBERTa EXCLUSIVE RULE TABLE ==========
                              rule_key  rule_group  exclusive_applications  corrected  harmed  net_correction  decisive_cases  correction_precision decision
                           negator:not     negator                      16          0       0               0               0                   NaN   REVIEW
                          contrast:but    contrast                      13          0       0               0               0                   NaN   REVIEW
                      intensifier:very intensifier                       4          0       0               0               0                   NaN   REVIEW
                    intensifier:really intensifier                       2          0       0               0               0                   NaN   REVIEW
                            negator:no     negator                       2          0       0               0               0                   NaN   REVIEW
                      contrast:however    contrast                       1          0       0               0               0                   NaN   REVIEW
                     diminisher:almost  diminisher                       1          0       0               0               0                   NaN   REVIEW
                 intensifier:extremely intensifier                       1          0       0               0               0                   NaN   REVIEW
                         negator:never     negator                       1          0       0               0               0                   NaN   REVIEW
                    phrase:works_great      phrase                       1          0       0               0               0                   NaN   REVIEW
                    phrase:wrong_color      phrase                       1          0       0               0               0                   NaN   REVIEW
                     contrast:although    contrast                       0          0       0               0               0                   NaN   UNUSED
                 contrast:nevertheless    contrast                       0          0       0               0               0                   NaN   UNUSED
                  contrast:nonetheless    contrast                       0          0       0               0               0                   NaN   UNUSED
                       contrast:though    contrast                       0          0       0               0               0                   NaN   UNUSED
                          contrast:yet    contrast                       0          0       0               0               0                   NaN   UNUSED
                     diminisher:barely  diminisher                       0          0       0               0               0                   NaN   UNUSED
                     diminisher:fairly  diminisher                       0          0       0               0               0                   NaN   UNUSED
                     diminisher:hardly  diminisher                       0          0       0               0               0                   NaN   UNUSED
                      diminisher:kinda  diminisher                       0          0       0               0               0                   NaN   UNUSED
              diminisher:mild_negative  diminisher                       0          0       0               0               0                   NaN   UNUSED
              diminisher:mild_positive  diminisher                       0          0       0               0               0                   NaN   UNUSED
                     diminisher:mildly  diminisher                       0          0       0               0               0                   NaN   UNUSED
                  diminisher:partially  diminisher                       0          0       0               0               0                   NaN   UNUSED
                     diminisher:partly  diminisher                       0          0       0               0               0                   NaN   UNUSED
                   diminisher:slightly  diminisher                       0          0       0               0               0                   NaN   UNUSED
                   diminisher:somewhat  diminisher                       0          0       0               0               0                   NaN   UNUSED
                      diminisher:sorta  diminisher                       0          0       0               0               0                   NaN   UNUSED
                intensifier:absolutely intensifier                       0          0       0               0               0                   NaN   UNUSED
                intensifier:completely intensifier                       0          0       0               0               0                   NaN   UNUSED
                    intensifier:highly intensifier                       0          0       0               0               0                   NaN   UNUSED
                intensifier:incredibly intensifier                       0          0       0               0               0                   NaN   UNUSED
              intensifier:ridiculously intensifier                       0          0       0               0               0                   NaN   UNUSED
                 intensifier:seriously intensifier                       0          0       0               0               0                   NaN   UNUSED
           intensifier:strong_negative intensifier                       0          0       0               0               0                   NaN   UNUSED
           intensifier:strong_positive intensifier                       0          0       0               0               0                   NaN   UNUSED
                     intensifier:super intensifier                       0          0       0               0               0                   NaN   UNUSED
              intensifier:surprisingly intensifier                       0          0       0               0               0                   NaN   UNUSED
                  intensifier:terribly intensifier                       0          0       0               0               0                   NaN   UNUSED
                   intensifier:totally intensifier                       0          0       0               0               0                   NaN   UNUSED
                     intensifier:ultra intensifier                       0          0       0               0               0                   NaN   UNUSED
