
========== SVM RULE-LEVEL AUDIT ==========
Total rules: 148
Rules used: 49
Rules not used: 99

========== RULE SUMMARY TABLE ==========
                              rule_key  applications  corrected  harmed  net_corrections  correction_precision  mean_margin_change status
                           negator:not            97         11       6                5              0.647059            0.026100   USED
          post_contrast_marker:however            13          3       0                3              1.000000           -0.046808   USED
                      intensifier:very            35          6       4                2              0.600000            0.027253   USED
                            negator:no            27          4       2                2              0.666667            0.009930   USED
                    intensifier:really            24          2       0                2              1.000000            0.031064   USED
              concessive_marker:though            10          3       1                2              0.750000            0.011280   USED
                         negator:never             9          2       0                2              1.000000           -0.079113   USED
                intensifier:absolutely             2          2       0                2              1.000000            0.117578   USED
              post_contrast_marker:yet             9          1       0                1              1.000000            0.022974   USED
                       negator:without             9          1       0                1              1.000000           -0.021055   USED
                     phrase:runs_large             4          1       0                1              1.000000            0.087299   USED
                    phrase:not_fitting             4          1       0                1              1.000000            0.072463   USED
                   phrase:well_written             4          1       0                1              1.000000            0.045086   USED
            concessive_marker:although             4          1       0                1              1.000000            0.031036   USED
                     diminisher:barely             4          1       0                1              1.000000            0.020361   USED
                   diminisher:slightly             3          2       1                1              0.666667            0.030576   USED
         concessive_marker:even_though             3          1       0                1              1.000000           -0.091852   USED
                    intensifier:highly             3          1       0                1              1.000000           -0.299232   USED
                  phrase:not_satisfied             1          1       0                1              1.000000            0.343037   USED
                     phrase:runs_small             1          1       0                1              1.000000            0.220797   USED
                 phrase:never_received             1          1       0                1              1.000000            0.213945   USED
                   intensifier:totally             1          1       0                1              1.000000            0.122299   USED
              intensifier:surprisingly             1          1       0                1              1.000000            0.120167   USED
                   phrase:not_worth_it             1          1       0                1              1.000000            0.089755   USED
               phrase:highly_recommend             1          1       0                1              1.000000            0.069023   USED
                  phrase:does_not_work            10          1       1                0              0.500000            0.119311   USED
                 intensifier:extremely             4          0       0                0                   NaN            0.086971   USED
                     intensifier:super             4          0       0                0                   NaN            0.019989   USED
                phrase:would_recommend             3          0       0                0                   NaN            0.055574   USED
                intensifier:completely             3          0       0                0                   NaN           -0.149063   USED
          phrase:neutral_expected_more             2          0       0                0                   NaN            0.183714   USED
                  phrase:had_to_return             2          0       0                0                   NaN            0.036180   USED
                   diminisher:somewhat             2          0       0                0                   NaN           -0.056651   USED
                    phrase:works_great             2          0       0                0                   NaN           -0.066492   USED
                    phrase:no_problems             2          0       0                0                   NaN           -0.483512   USED
                 intensifier:seriously             1          0       0                0                   NaN            0.332146   USED
                   phrase:not_charging             1          0       0                0                   NaN            0.251324   USED
                     diminisher:hardly             1          0       0                0                   NaN            0.169535   USED
                 phrase:easy_to_follow             1          0       0                0                   NaN            0.123683   USED
                    phrase:see_through             1          0       0                0                   NaN            0.096451   USED
                 phrase:poorly_written             1          0       0                0                   NaN            0.066752   USED
          phrase:neutral_pros_and_cons             1          0       0                0                   NaN            0.056755   USED
                   phrase:cheaply_made             1          0       0                0                   NaN            0.028795   USED
                     diminisher:mildly             1          0       0                0                   NaN            0.008483   USED
                      phrase:no_issues             1          0       0                0                   NaN           -0.007291   USED
                    phrase:wrong_color             1          0       0                0                   NaN           -0.195567   USED
                      diminisher:kinda             0          0       0                0                   NaN                 NaN UNUSED
                  diminisher:partially             0          0       0                0                   NaN                 NaN UNUSED
                     diminisher:partly             0          0       0                0                   NaN                 NaN UNUSED
                      diminisher:sorta             0          0       0                0                   NaN                 NaN UNUSED
                intensifier:incredibly             0          0       0                0                   NaN                 NaN UNUSED
              intensifier:ridiculously             0          0       0                0                   NaN                 NaN UNUSED
