
========== EXCLUSIVE SVM RULE SUMMARY ==========
Total registered rules: 148
Rules used anywhere: 49
Rules with exclusive evidence: 13
Rules without exclusive evidence: 135

========== EXCLUSIVE-RULE TABLE ==========
                              rule_key  all_applications  exclusive_applications  corrected  harmed  decisive_changes  net_corrections  correction_precision  mean_margin_change       exclusive_status decision
                      intensifier:very                35                       4          1       0                 1                1              1.000000            0.017062 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                           negator:not                97                      16          2       1                 3                1              0.666667            0.042354 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                  phrase:does_not_work                10                       2          1       1                 2                0              0.500000            0.054766 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                    intensifier:really                24                       2          0       0                 0                0                   NaN            0.206725 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                 intensifier:extremely                 4                       1          0       0                 0                0                   NaN            0.018705 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                         negator:never                 9                       1          0       0                 0                0                   NaN            0.076458 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                            negator:no                27                       1          0       0                 0                0                   NaN            0.210813 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                      phrase:no_issues                 1                       1          0       0                 0                0                   NaN           -0.007291 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                    phrase:not_fitting                 4                       1          0       0                 0                0                   NaN            0.050658 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                    phrase:works_great                 2                       1          0       0                 0                0                   NaN            0.119495 HAS_EXCLUSIVE_EVIDENCE   REVIEW
                    phrase:wrong_color                 1                       1          0       0                 0                0                   NaN           -0.195567 HAS_EXCLUSIVE_EVIDENCE   REVIEW
          post_contrast_marker:however                13                       1          0       0                 0                0                   NaN           -0.239449 HAS_EXCLUSIVE_EVIDENCE   REVIEW
            concessive_marker:although                 4                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
         concessive_marker:even_though                 3                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
              concessive_marker:though                10                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                     diminisher:barely                 4                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                     diminisher:hardly                 1                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                      diminisher:kinda                 0                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                     diminisher:mildly                 1                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                  diminisher:partially                 0                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                     diminisher:partly                 0                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                   diminisher:slightly                 3                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                   diminisher:somewhat                 2                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                      diminisher:sorta                 0                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                intensifier:absolutely                 2                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                intensifier:completely                 3                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                    intensifier:highly                 3                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                intensifier:incredibly                 0                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
              intensifier:ridiculously                 0                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                 intensifier:seriously                 1                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                     intensifier:super                 4                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
              intensifier:surprisingly                 1                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                  intensifier:terribly                 0                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                   intensifier:totally                 1                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
                     intensifier:ultra                 0                       0          0       0                 0                0                   NaN                 NaN  NO_EXCLUSIVE_EVIDENCE   REVIEW
