
========== SVM FEATURE-LEVEL AUDIT ==========
Total unique polarity features: 1185

========== MOST HARMFUL FEATURES ==========
                                feature         feature_family  applications  corrected  harmed  net_corrections  decisive_cases  correction_precision  mean_margin_change decision
                    FEAT_NEG_SCOPE_read         negation_scope             6          0       2               -2               2              0.000000            0.019851   REVIEW
                      FEAT_CONTRAST_but        contrast_marker            86          6       8               -2              14              0.428571           -0.014297   REVIEW
          FEAT_AFTER_CONTRAST_but_clear   after_contrast_scope             2          0       1               -1               1              0.000000           -0.394776   REVIEW
        FEAT_AFTER_CONTRAST_but_battery   after_contrast_scope             1          0       1               -1               1              0.000000           -0.318555   REVIEW
        FEAT_AFTER_CONTRAST_but_install   after_contrast_scope             1          0       1               -1               1              0.000000           -0.318555   REVIEW
           FEAT_AFTER_CONTRAST_but_unit   after_contrast_scope             1          0       1               -1               1              0.000000           -0.318555   REVIEW
         FEAT_AFTER_CONTRAST_but_useful   after_contrast_scope             1          0       1               -1               1              0.000000           -0.318555   REVIEW
                    FEAT_NEG_SCOPE_true         negation_scope             1          0       1               -1               1              0.000000           -0.318555   REVIEW
           FEAT_AFTER_CONTRAST_but_wide   after_contrast_scope             2          0       1               -1               1              0.000000           -0.297053   REVIEW
          FEAT_AFTER_CONTRAST_but_think   after_contrast_scope             4          0       1               -1               1              0.000000           -0.217368   REVIEW
      FEAT_AFTER_CONTRAST_but_difficult   after_contrast_scope             1          0       1               -1               1              0.000000           -0.212793   REVIEW
    FEAT_AFTER_CONCESSION_though_belief after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
  FEAT_AFTER_CONCESSION_though_blessing after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
       FEAT_AFTER_CONCESSION_though_buy after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
     FEAT_AFTER_CONCESSION_though_child after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
    FEAT_AFTER_CONCESSION_though_convey after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
   FEAT_AFTER_CONCESSION_though_ethical after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
     FEAT_AFTER_CONCESSION_though_freed after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
    FEAT_AFTER_CONCESSION_though_future after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
FEAT_AFTER_CONCESSION_though_generation after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
   FEAT_AFTER_CONCESSION_though_include after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
    FEAT_AFTER_CONCESSION_though_legacy after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
      FEAT_AFTER_CONCESSION_though_life after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
      FEAT_AFTER_CONCESSION_though_like after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
      FEAT_AFTER_CONCESSION_though_live after_concession_scope             1          0       1               -1               1              0.000000           -0.190901   REVIEW
