
========== ALL REGISTERED RULE USAGE ==========
Total registered rules: 143
Used rules: 38
Never-used rules: 105

========== RULE USAGE TABLE ==========
                                          rule  times_used  used_in_reviews usage_status
                             custom_negator:no          31               31         USED
                     electronics:does_not_work          10               10         USED
                           fashion:not_fitting           4                4         USED
                            fashion:runs_large           4                4         USED
                             intensifier:super           4                4         USED
                  positive_phrase:well_written           4                4         USED
                           domain_lexicon:soft           3                3         USED
                             diminisher:fairly           2                2         USED
                    domain_lexicon:informative           2                2         USED
                negative_phrase:waste_of_money           2                2         USED
          neutral_phrase:neutral_expected_more           2                2         USED
              positive_phrase:highly_recommend           2                2         USED
                   positive_phrase:no_problems           2                2         USED
                   positive_phrase:works_great           2                2         USED
               positive_phrase:would_recommend           2                2         USED
                    return_issue:had_to_return           2                2         USED
                          books:poorly_written           1                1         USED
                 delivery_issue:never_received           1                1         USED
                             diminisher:mildly           1                1         USED
                      domain_lexicon:authentic           1                1         USED
                        domain_lexicon:durable           1                1         USED
                         domain_lexicon:flimsy           1                1         USED
                     domain_lexicon:inaccurate           1                1         USED
                     domain_lexicon:incomplete           1                1         USED
                       domain_lexicon:reliable           1                1         USED
                       domain_lexicon:unusable           1                1         USED
                      electronics:not_charging           1                1         USED
                            fashion:runs_small           1                1         USED
                           fashion:see_through           1                1         USED
                           fashion:wrong_color           1                1         USED
                         intensifier:seriously           1                1         USED
                      intensifier:surprisingly           1                1         USED
                 negative_phrase:not_satisfied           1                1         USED
          neutral_phrase:neutral_pros_and_cons           1                1         USED
                positive_phrase:easy_to_follow           1                1         USED
                     positive_phrase:no_issues           1                1         USED
                  positive_phrase:true_to_size           1                1         USED
                  product_quality:cheaply_made           1                1         USED
                         books:bad_translation           0                0   NEVER_USED
                          books:hard_to_follow           0                0   NEVER_USED
                           books:missing_pages           0                0   NEVER_USED
                          books:printing_error           0                0   NEVER_USED
                contrast_normalisation:however           0                0   NEVER_USED
           contrast_normalisation:nevertheless           0                0   NEVER_USED
            contrast_normalisation:nonetheless           0                0   NEVER_USED
                            custom_negator:n't           0                0   NEVER_USED
                             custom_negator:nt           0                0   NEVER_USED
                  delivery_issue:not_delivered           0                0   NEVER_USED
                          diminisher:partially           0                0   NEVER_USED
                     domain_lexicon:adjustable           0                0   NEVER_USED
                     domain_lexicon:affordable           0                0   NEVER_USED
                           domain_lexicon:bent           0                0   NEVER_USED
                     domain_lexicon:breathable           0                0   NEVER_USED
                     domain_lexicon:compatible           0                0   NEVER_USED
                     domain_lexicon:convenient           0                0   NEVER_USED
                    domain_lexicon:counterfeit           0                0   NEVER_USED
                         domain_lexicon:dented           0                0   NEVER_USED
                          domain_lexicon:faded           0                0   NEVER_USED
                     domain_lexicon:flickering           0                0   NEVER_USED
                        domain_lexicon:fragile           0                0   NEVER_USED
                        domain_lexicon:glitchy           0                0   NEVER_USED
                     domain_lexicon:incoherent           0                0   NEVER_USED
                     domain_lexicon:insightful           0                0   NEVER_USED
                       domain_lexicon:knockoff           0                0   NEVER_USED
                          domain_lexicon:laggy           0                0   NEVER_USED
                       domain_lexicon:lifeless           0                0   NEVER_USED
                    domain_lexicon:lightweight           0                0   NEVER_USED
                 domain_lexicon:malfunctioning           0                0   NEVER_USED
                     domain_lexicon:misprinted           0                0   NEVER_USED
                    domain_lexicon:overheating           0                0   NEVER_USED
                     domain_lexicon:overpriced           0                0   NEVER_USED
                        domain_lexicon:pilling           0                0   NEVER_USED
                        domain_lexicon:premium           0                0   NEVER_USED
                     domain_lexicon:protective           0                0   NEVER_USED
                         domain_lexicon:ripped           0                0   NEVER_USED
                       domain_lexicon:scratchy           0                0   NEVER_USED
                       domain_lexicon:shrunken           0                0   NEVER_USED
                          domain_lexicon:sleek           0                0   NEVER_USED
                         domain_lexicon:smooth           0                0   NEVER_USED
                        domain_lexicon:stained           0                0   NEVER_USED
                       domain_lexicon:stretchy           0                0   NEVER_USED
                         domain_lexicon:sturdy           0                0   NEVER_USED
                        domain_lexicon:stylish           0                0   NEVER_USED
                  domain_lexicon:underwhelming           0                0   NEVER_USED
                     domain_lexicon:unreadable           0                0   NEVER_USED
                     domain_lexicon:unreliable           0                0   NEVER_USED
                   domain_lexicon:unresponsive           0                0   NEVER_USED
                         domain_lexicon:warped           0                0   NEVER_USED
                       domain_lexicon:washable           0                0   NEVER_USED
               electronics:battery_drains_fast           0                0   NEVER_USED
                   electronics:dead_on_arrival           0                0   NEVER_USED
              electronics:does_not_hold_charge           0                0   NEVER_USED
                 electronics:flickering_screen           0                0   NEVER_USED
               electronics:keeps_disconnecting           0                0   NEVER_USED
                   electronics:no_longer_works           0                0   NEVER_USED
                   electronics:not_powering_on           0                0   NEVER_USED
                    electronics:not_turning_on           0                0   NEVER_USED
                 electronics:overheats_quickly           0                0   NEVER_USED
                   electronics:poor_connection           0                0   NEVER_USED
                    electronics:screen_cracked           0                0   NEVER_USED
                   electronics:stopped_working           0                0   NEVER_USED
        electronics:touchscreen_not_responsive           0                0   NEVER_USED
                           fashion:color_faded           0                0   NEVER_USED
                    fashion:fabric_feels_cheap           0                0   NEVER_USED
                              fashion:poor_fit           0                0   NEVER_USED
                           fashion:seam_ripped           0                0   NEVER_USED
                     fashion:shrunk_after_wash           0                0   NEVER_USED
                            fashion:wrong_size           0                0   NEVER_USED
                         fashion:zipper_broken           0                0   NEVER_USED
                      intensifier:ridiculously           0                0   NEVER_USED
                          intensifier:terribly           0                0   NEVER_USED
                             intensifier:ultra           0                0   NEVER_USED
          negation_exception:not_only_but_also           0                0   NEVER_USED
                  negative_phrase:not_worth_it           0                0   NEVER_USED
           negative_phrase:would_not_recommend           0                0   NEVER_USED
neutral_phrase:neutral_average_nothing_special           0                0   NEVER_USED
       neutral_phrase:neutral_decent_for_price           0                0   NEVER_USED
     neutral_phrase:neutral_good_but_not_great           0                0   NEVER_USED
      neutral_phrase:neutral_not_bad_not_great           0                0   NEVER_USED
        neutral_phrase:neutral_okay_but_issues           0                0   NEVER_USED
  neutral_phrase:neutral_somewhat_disappointed           0                0   NEVER_USED
              neutral_phrase:neutral_works_but           0                0   NEVER_USED
                     order_issue:missing_parts           0                0   NEVER_USED
                        order_issue:wrong_item           0                0   NEVER_USED
          positive_phrase:better_than_expected           0                0   NEVER_USED
       positive_phrase:cannot_recommend_enough           0                0   NEVER_USED
               positive_phrase:comfortable_fit           0                0   NEVER_USED
          positive_phrase:could_not_be_happier           0                0   NEVER_USED
         positive_phrase:exceeded_expectations           0                0   NEVER_USED
                    positive_phrase:great_read           0                0   NEVER_USED
            positive_phrase:highly_informative           0                0   NEVER_USED
                 positive_phrase:no_complaints           0                0   NEVER_USED
                    positive_phrase:no_regrets           0                0   NEVER_USED
                       positive_phrase:not_bad           0                0   NEVER_USED
             positive_phrase:works_as_expected           0                0   NEVER_USED
               positive_phrase:works_perfectly           0                0   NEVER_USED
             positive_phrase:worth_every_penny           0                0   NEVER_USED
               positive_phrase:would_buy_again           0                0   NEVER_USED
          product_description:not_as_described           0                0   NEVER_USED
                    product_quality:fell_apart           0                0   NEVER_USED
                   product_quality:low_quality           0                0   NEVER_USED
                   product_quality:not_lasting           0                0   NEVER_USED
                      return_issue:want_refund           0                0   NEVER_USED
