meta_negator_count,meta_intensifier_count,meta_diminisher_count,meta_contrast_count,meta_neg_phrase_count,meta_neu_phrase_count,meta_pos_phrase_count,meta_has_negator,meta_has_intensifier,meta_has_diminisher,meta_has_contrast,meta_has_neg_phrase,meta_has_neu_phrase,meta_has_pos_phrase
1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,1,0,0,0,0,0,1
5,4,0,2,0,0,1,1,1,0,1,0,0,1
3,0,0,1,1,0,0,1,0,0,1,1,0,0
1,0,0,2,0,0,1,1,0,0,1,0,0,1
2,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,3,0,0,0,1,1,0,1,0,0,0
1,1,0,1,0,0,0,1,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,0,1,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,1,0,0,1,1,0,0,1,0,0
2,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,2,0,2,0,0,0,1,1,0,1,0,0,0
6,3,1,3,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,1,0,3,0,0,0,1,1,0,1,0,0,0
2,2,1,5,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,1,1,0,0,0,0,0
4,2,0,4,0,0,0,1,1,0,1,0,0,0
1,1,0,1,0,0,0,1,1,0,1,0,0,0
1,3,0,0,0,0,0,1,1,0,0,0,0,0
2,2,0,1,0,0,0,1,1,0,1,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
7,0,0,4,0,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,1,0,0,0,1,1,0,1,0,0,0
2,0,0,2,0,0,0,1,0,0,1,0,0,0
